Range,Elevation,AngledElevation,Velocity,Energy,Time Of Flight,Drop,Deflect
50,7.63,7.63,2548.52,2423,0.058,-0.63,0.18
100,13.93,13.93,2449.25,2238,0.117,-2.59,0.75
150,18.79,18.79,2352.16,2064,0.180,-6.00,1.76
200,22.04,22.04,2257.42,1901,0.245,-11.00,3.30
250,23.57,23.57,2164.85,1748,0.313,-17.73,5.33
300,23.28,23.28,2074.31,1605,0.384,-26.29,7.83
350,20.96,20.96,1986.11,1471,0.458,-36.87,10.88
400,16.67,16.67,1899.20,1345,0.534,-49.42,14.30
450,9.74,9.74,1815.75,1230,0.615,-64.62,18.58
500,0.00,0.00,1735.38,1123,0.700,-82.61,23.63
550,-12.67,-12.67,1657.77,1025,0.789,-103.54,29.36
600,-28.37,-28.37,1582.66,934,0.882,-127.50,35.71
650,-47.17,-47.17,1509.81,850,0.978,-154.57,42.63
700,-70.15,-70.15,1441.14,775,1.080,-185.81,50.54
