Range,Elevation,AngledElevation,Velocity,Energy,Time Of Flight,Drop,Deflect
50,7.95,7.95,2500.04,2331,0.059,-0.65,0.15
100,14.52,14.52,2402.22,2152,0.120,-2.69,0.74
150,19.57,19.57,2306.69,1985,0.183,-6.24,1.81
200,22.96,22.96,2213.41,1827,0.250,-11.45,3.40
250,24.58,24.58,2122.21,1680,0.320,-18.44,5.47
300,24.32,24.32,2032.96,1542,0.391,-27.30,7.98
350,22.02,22.02,1945.70,1412,0.466,-38.20,11.00
400,17.44,17.44,1860.80,1292,0.545,-51.38,14.64
450,10.15,10.15,1779.15,1181,0.628,-67.27,19.08
500,0.00,0.00,1700.39,1078,0.715,-86.03,24.25
550,-13.13,-13.13,1624.25,984,0.806,-107.75,30.08
600,-29.33,-29.33,1550.48,897,0.900,-132.56,36.50
650,-49.08,-49.08,1479.80,817,0.998,-160.92,43.66
700,-72.97,-72.97,1412.97,745,1.102,-193.41,51.72
