Range,Elevation,AngledElevation,Velocity,Energy,Time Of Flight,Drop,Deflect
50,8.42,8.42,2499.28,2496,0.059,-0.65,0.25
100,15.47,15.47,2381.48,2267,0.120,-2.68,0.92
150,20.96,20.96,2267.13,2054,0.184,-6.26,2.23
200,24.75,24.75,2155.94,1858,0.253,-11.55,4.15
250,26.69,26.69,2047.66,1676,0.324,-18.68,6.62
300,26.64,26.64,1942.23,1508,0.399,-27.81,9.69
350,24.26,24.26,1840.40,1354,0.478,-39.27,13.52
400,19.13,19.13,1743.16,1214,0.562,-53.47,18.30
450,11.09,11.09,1649.95,1088,0.651,-70.59,23.92
500,0.00,0.00,1560.30,973,0.745,-90.75,30.28
550,-14.54,-14.54,1474.84,869,0.843,-114.36,37.49
600,-33.31,-33.31,1395.31,778,0.947,-142.21,45.81
650,-56.85,-56.85,1322.35,699,1.058,-174.83,55.27
700,-85.13,-85.13,1254.57,629,1.174,-212.19,65.62
