Range,Elevation,AngledElevation,Velocity,Energy,Time Of Flight,Drop,Deflect
50,6.83,6.83,2684.43,2384,0.055,-0.58,0.22
100,12.45,12.45,2581.30,2204,0.112,-2.36,0.79
150,16.77,16.77,2480.51,2035,0.171,-5.44,1.75
200,19.71,19.71,2381.80,1877,0.233,-9.91,3.08
250,21.07,21.07,2285.53,1728,0.297,-15.95,4.96
300,20.75,20.75,2191.51,1589,0.364,-23.68,7.35
350,18.63,18.63,2099.61,1458,0.434,-33.20,10.22
400,14.63,14.63,2009.68,1336,0.507,-44.61,13.53
450,8.53,8.53,1921.79,1222,0.583,-58.10,17.40
500,0.00,0.00,1836.75,1116,0.662,-74.04,21.96
550,-11.32,-11.32,1754.93,1019,0.747,-92.77,27.32
600,-25.56,-25.56,1675.99,929,0.835,-114.41,33.40
650,-42.80,-42.80,1599.65,847,0.927,-139.06,40.11
700,-63.13,-63.13,1525.66,770,1.022,-166.79,47.41
