cnt,rfl,amo,vel
5,1,A,2532
61,1,A,2549
49,1,A,2563
33,1,A,2564
1,1,A,2565
9,1,A,2566
37,1,A,2571
13,1,A,2586
41,1,A,2586
45,1,A,2601
25,1,A,2608
17,1,A,2613
53,1,A,2613
21,1,A,2621
57,1,A,2624
29,1,A,2631
10,1,B,2384
42,1,B,2389
46,1,B,2397
18,1,B,2398
50,1,B,2409
62,1,B,2409
6,1,B,2411
26,1,B,2414
38,1,B,2414
54,1,B,2416
34,1,B,2420
22,1,B,2421
14,1,B,2422
30,1,B,2425
58,1,B,2433
2,1,B,2438
43,1,C,2406
27,1,C,2410
59,1,C,2413
51,1,C,2424
19,1,C,2425
23,1,C,2429
7,1,C,2436
15,1,C,2438
63,1,C,2440
3,1,C,2441
11,1,C,2441
35,1,C,2443
39,1,C,2450
31,1,C,2462
55,1,C,2469
47,1,C,2472
12,1,D,2667
20,1,D,2668
8,1,D,2681
60,1,D,2704
52,1,D,2710
24,1,D,2711
32,1,D,2712
48,1,D,2722
44,1,D,2727
56,1,D,2739
36,1,D,2741
64,1,D,2761
4,1,D,2779
16,1,D,2785
28,1,D,2794
40,1,D,2804
5,2,A,2550
29,2,A,2558
33,2,A,2561
21,2,A,2566
25,2,A,2582
13,2,A,2583
9,2,A,2599
41,2,A,2599
17,2,A,2604
37,2,A,2620
2,2,B,2368
6,2,B,2382
26,2,B,2386
10,2,B,2389
30,2,B,2390
42,2,B,2392
38,2,B,2399
18,2,B,2406
14,2,B,2411
22,2,B,2412
34,2,B,2429
31,2,C,2394
15,2,C,2415
19,2,C,2419
43,2,C,2421
35,2,C,2423
39,2,C,2424
3,2,C,2438
27,2,C,2438
7,2,C,2439
23,2,C,2446
11,2,C,2460
44,2,D,2672
32,2,D,2676
8,2,D,2688
20,2,D,2692
40,2,D,2719
36,2,D,2725
28,2,D,2737
24,2,D,2740
16,2,D,2741
4,2,D,2753
12,2,D,2773
